Postal Code,Borough,Neighbourhood,Latitude,Longitude,CrimeRate,AverageDistance,AverageLikes,AverageRating,NumberOfSchools
M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,0.022602756315547267,407.0,,,1.0
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971,0.005929227117494611,,,,0.0
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115,0.024961852399060236,668.6,,,5.0
M1G,Scarborough,Woburn,43.7709921,-79.2169174,0.018398042967520043,800.0,,,2.0
M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761,0.016436166347760798,372.5,,,2.0
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,0.014057693705040328,632.0,,,3.0
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,0.021173735073994237,608.0,,,1.0
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,0.005895318138881488,552.0,,,4.0
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,0.0083803618572432,779.0,,,1.0
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,0.022578535616537894,,,,0.0
M1S,Scarborough,Agincourt,43.7942003,-79.2620294,0.007992830673093225,775.0,,,3.0
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,0.006641315668370189,652.0,,,7.0
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,0.02335844212463972,694.5,,,2.0
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,0.006665536367379562,797.75,,,4.0
M2H,North York,Hillcrest Village,43.8037622,-79.3634517,0.003923753239518492,556.5,,,2.0
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,0.011054327027878024,548.0,,,3.0
M2K,North York,Bayview Village,43.7869473,-79.385975,0.007101508949548284,557.0,,,1.0
